,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-18 03:00:00,1.78527495735585,1.7455570179767668,2.2593603770074164,1.9130453,2.1100134598582914,1.8426871318331686,2.297167605209454,2.8975344,2.8206248032420804,7.78
2019-02-18 04:00:00,5.029100771600991,5.4124605810135415,5.568269231149951,5.3043394,5.392932768518715,5.571703952339661,5.5072846239770765,3.3604717,6.117921229059487,0.363
2019-02-18 05:00:00,2.4499186789367626,2.6604639476339167,2.9751706316688025,2.3707678,2.826621464428706,2.849114189112424,2.8431913420109773,3.2936738,3.4678768431518505,0.11
2019-02-18 06:00:00,1.1903773338296304,1.7857351038028126,1.6212491986534578,1.8079429,1.4545255691506753,1.2516319474521609,1.5963091616177225,3.2468429,1.9474016220071206,1.45
2019-02-18 07:00:00,1.680491499969843,2.410297356880348,3.05022483856804,2.3339734,2.4088578749393257,2.150303181789181,2.6228470979430663,3.17304,1.7700343657230169,0.907
2019-02-18 08:00:00,1.502224140856121,2.5944640472561504,1.5863649001114504,2.285218,1.6887995536063651,2.289625498268344,1.1031181893631739,3.1431565,1.8404332930778007,0.023
2019-02-18 09:00:00,1.1538142154055677,2.052441069092065,1.8167240124417852,1.8754201,0.9299911448794447,1.7348740557963418,0.9673706052253532,3.0887964,1.1207145640688978,0.264
2019-02-18 10:00:00,1.3638329307206818,2.0952973336610095,1.6713732682988378,1.9162972,1.8601178924211212,1.6866248006339983,1.3577631547513067,3.2138278,1.3594383994706818,0.002
2019-02-18 11:00:00,1.2521267197470234,2.484591974012941,2.244972245572983,1.9015741,1.9737286827902363,1.7061834596840117,2.5445039099308326,3.2775402,1.3088598511557148,1.262
2019-02-18 12:00:00,1.838485288717032,2.7214572264108625,2.492000301684489,2.3708339,1.917352247335196,2.2555278803141223,1.8875596102793288,3.2769563,1.7344465733544832,2.474
2019-02-18 13:00:00,2.390336570397964,3.6623061689141325,2.8736671586143725,3.107824,2.856870708123794,3.1111699969604727,2.6208370349151204,3.2776194,2.3506579967895656,2.069
2019-02-18 14:00:00,2.21290977065687,3.760320767548745,2.7214484545509383,3.1383605,2.5884605175745947,3.1201191795004846,2.765521305576869,3.2950046,3.081225944210337,2.259
2019-02-18 15:00:00,2.397458466052551,2.657311804768413,2.951892542540501,2.4993331,2.7863873562808226,2.4613997963390966,2.683369531530324,3.1709359,3.547440918445129,1.99
2019-02-18 16:00:00,2.0461641270669197,2.503508916786244,2.659320835909937,2.8744397,2.5316797215493416,2.83998387601565,2.2262537850597415,3.2345572,3.330088229850123,1.302
2019-02-18 17:00:00,1.9349248218721997,3.742607287776165,2.4655615558580686,2.85404,2.29943202020594,2.6006458859464447,2.4393938943701134,3.3734803,2.930707197207893,2.499
2019-02-18 18:00:00,2.6897624065616057,3.578931810913654,3.2474874491988874,3.2113857,3.008768372748129,3.0322625340442255,3.112304855130314,3.421014,3.327871613714926,2.608
2019-02-18 19:00:00,2.780187800408701,3.958985547626127,3.3133014465346946,3.3857098,3.062497332574228,3.208106643920444,2.90091847104006,3.3841624,3.033315375329355,2.325
2019-02-18 20:00:00,2.843979328967556,4.036827057528318,3.3611809211483883,3.3676324,3.0518669785036887,3.114112297654999,3.2074316767210873,3.5625346,3.3198909462466086,2.223
2019-02-18 21:00:00,2.6294831745707903,4.06211145292387,3.2693296318179197,3.3169546,2.941130589731923,2.967107026860283,3.329960885110806,3.5263796,3.1448649876201067,1.904
2019-02-18 22:00:00,2.1606952399492982,4.027109774770812,2.7410206184772132,3.177305,2.4962641448260072,2.8022027876094975,2.373273112344207,3.4573376,3.075618907857013,1.648
2019-02-18 23:00:00,2.0521772751011302,3.517904183984598,2.585596471779517,2.8899906,2.2923048385776927,2.5092693819718765,2.3732286864311054,3.3393776,2.6231644996799877,1.038
