Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
09/01/2020;1700 UTC;,5
09/01/2020;1800 UTC;1
09/01/2020;1900 UTC;,8
09/01/2020;2000 UTC;,7
09/01/2020;2100 UTC;0
09/01/2020;2200 UTC;1,5
09/01/2020;2300 UTC;,3
10/01/2020;0000 UTC;1,2
10/01/2020;0100 UTC;,1
10/01/2020;0200 UTC;1,8
10/01/2020;0300 UTC;1,2
10/01/2020;0400 UTC;,9
10/01/2020;0500 UTC;,1
10/01/2020;0600 UTC;,2
10/01/2020;0700 UTC;,3
10/01/2020;0800 UTC;,1
10/01/2020;0900 UTC;,2
10/01/2020;1000 UTC;3,3
10/01/2020;1100 UTC;,1
10/01/2020;1200 UTC;1
10/01/2020;1300 UTC;2
10/01/2020;1400 UTC;,9
10/01/2020;1500 UTC;1,9
10/01/2020;1600 UTC;2
10/01/2020;1700 UTC;1,9
10/01/2020;1800 UTC;1,5
10/01/2020;1900 UTC;2,1
10/01/2020;2000 UTC;1,6
10/01/2020;2100 UTC;,4
10/01/2020;2200 UTC;,2
10/01/2020;2300 UTC;,2
11/01/2020;0000 UTC;0
11/01/2020;0100 UTC;,1
11/01/2020;0200 UTC;,1
11/01/2020;0300 UTC;,2
11/01/2020;0400 UTC;,7
11/01/2020;0500 UTC;1,1
11/01/2020;0600 UTC;1,1
11/01/2020;0700 UTC;0
11/01/2020;0800 UTC;0
11/01/2020;0900 UTC;,1
11/01/2020;1000 UTC;,2
11/01/2020;1100 UTC;,3
11/01/2020;1200 UTC;3,8
11/01/2020;1300 UTC;2,1
11/01/2020;1400 UTC;,7
11/01/2020;1500 UTC;1,3
11/01/2020;1600 UTC;,3
11/01/2020;1700 UTC;3,6
11/01/2020;1800 UTC;4,4
11/01/2020;1900 UTC;3,1
11/01/2020;2000 UTC;2,8
11/01/2020;2100 UTC;1,7
11/01/2020;2200 UTC;1,4
11/01/2020;2300 UTC;,9
12/01/2020;0000 UTC;,8
12/01/2020;0100 UTC;,4
12/01/2020;0200 UTC;0
12/01/2020;0300 UTC;0
12/01/2020;0400 UTC;0
12/01/2020;0500 UTC;,9
12/01/2020;0600 UTC;1,4
12/01/2020;0700 UTC;,4
12/01/2020;0800 UTC;,4
12/01/2020;0900 UTC;0
12/01/2020;1000 UTC;,9
12/01/2020;1100 UTC;2,3
12/01/2020;1200 UTC;2,8
12/01/2020;1300 UTC;2,4
12/01/2020;1400 UTC;1,6
12/01/2020;1500 UTC;2,3
12/01/2020;1600 UTC;1,6
12/01/2020;1700 UTC;1
12/01/2020;1800 UTC;,7
12/01/2020;1900 UTC;1,8
12/01/2020;2000 UTC;1,5
12/01/2020;2100 UTC;0
12/01/2020;2200 UTC;1
12/01/2020;2300 UTC;,2
13/01/2020;0000 UTC;,6
13/01/2020;0100 UTC;,8
13/01/2020;0200 UTC;,9
13/01/2020;0300 UTC;,1
13/01/2020;0400 UTC;1
13/01/2020;0500 UTC;,4
13/01/2020;0600 UTC;,1
13/01/2020;0700 UTC;,1
13/01/2020;0800 UTC;1,8
13/01/2020;0900 UTC;,3
13/01/2020;1000 UTC;,5
13/01/2020;1100 UTC;1,1
13/01/2020;1200 UTC;,4
13/01/2020;1300 UTC;1,5
