Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
11/01/2020;0000 UTC;2,4
11/01/2020;0100 UTC;2,1
11/01/2020;0200 UTC;1,5
11/01/2020;0300 UTC;1,9
11/01/2020;0400 UTC;1,8
11/01/2020;0500 UTC;1,7
11/01/2020;0600 UTC;1,6
11/01/2020;0700 UTC;1,4
11/01/2020;0800 UTC;1,3
11/01/2020;0900 UTC;1
11/01/2020;1000 UTC;2,7
11/01/2020;1100 UTC;4,4
11/01/2020;1200 UTC;3,8
11/01/2020;1300 UTC;4,5
11/01/2020;1400 UTC;3,8
11/01/2020;1500 UTC;4,6
11/01/2020;1600 UTC;5,1
11/01/2020;1700 UTC;5
11/01/2020;1800 UTC;5,2
11/01/2020;1900 UTC;4,8
11/01/2020;2000 UTC;4,6
11/01/2020;2100 UTC;4,3
11/01/2020;2200 UTC;3,8
11/01/2020;2300 UTC;2,8
12/01/2020;0000 UTC;2,4
12/01/2020;0100 UTC;1,3
12/01/2020;0200 UTC;,9
12/01/2020;0300 UTC;1,1
12/01/2020;0400 UTC;1,4
12/01/2020;0500 UTC;2
12/01/2020;0600 UTC;,5
12/01/2020;0700 UTC;,6
12/01/2020;0800 UTC;,9
12/01/2020;0900 UTC;,3
12/01/2020;1000 UTC;2,4
12/01/2020;1100 UTC;2,7
12/01/2020;1200 UTC;4,3
12/01/2020;1300 UTC;4,4
12/01/2020;1400 UTC;5,4
12/01/2020;1500 UTC;4,9
12/01/2020;1600 UTC;4,9
12/01/2020;1700 UTC;5
12/01/2020;1800 UTC;5,6
12/01/2020;1900 UTC;5,2
12/01/2020;2000 UTC;4,4
12/01/2020;2100 UTC;3,8
12/01/2020;2200 UTC;2,5
12/01/2020;2300 UTC;2,9
13/01/2020;0000 UTC;2
13/01/2020;0100 UTC;1,6
13/01/2020;0200 UTC;1,6
13/01/2020;0300 UTC;,8
13/01/2020;0400 UTC;1,2
13/01/2020;0500 UTC;,9
13/01/2020;0600 UTC;,5
13/01/2020;0700 UTC;,7
13/01/2020;0800 UTC;,7
13/01/2020;0900 UTC;,8
13/01/2020;1000 UTC;1,7
13/01/2020;1100 UTC;3,1
13/01/2020;1200 UTC;4
13/01/2020;1300 UTC;4,5
13/01/2020;1400 UTC;3,4
